Feature,Importance
Humidity3pm,0.1149957620002846
Pressure9am,0.08839778965154396
Pressure3pm,0.08641886616231689
Sunshine,0.08227583069282682
WindGustSpeed,0.050538505867549925
Temp3pm,0.04748741343670265
MaxTemp,0.04237904004709337
MinTemp,0.03990332479110624
Temp9am,0.03986072819875699
Cloud3pm,0.038180236276884646
Evaporation,0.0367047585616529
Humidity9am,0.03658446147416484
WindSpeed9am,0.032253075966889075
WindSpeed3pm,0.03052992520379507
Rainfall,0.02783754854821236
Cloud9am,0.022318936279495518
WindDir9am_N,0.008176600892773061
RainYesterday_Yes,0.007426524584695555
WindGustDir_N,0.006571429027886072
Location_MelbourneAirport,0.006500323767451267
Season_Spring,0.006386537592507189
Location_Melbourne,0.005557992182054248
Location_Watsonia,0.00543165525830071
Season_Autumn,0.005359403637277302
RainYesterday_No,0.005208377512280477
Season_Summer,0.005142590384400418
Season_Winter,0.00509925334868523
WindDir3pm_N,0.005019326940685297
WindDir3pm_S,0.004609278322272515
WindDir3pm_NNW,0.00457025807969032
WindDir3pm_WNW,0.003989903814023818
WindDir3pm_NW,0.003979719661420563
WindGustDir_WSW,0.003921187995162164
WindGustDir_NNW,0.003822178593176207
WindDir3pm_SW,0.003820248539782211
WindGustDir_W,0.0037647074210545883
WindDir3pm_SSW,0.0036587951451963947
WindGustDir_SW,0.003652850481063389
WindDir9am_WSW,0.0036196582288450583
WindDir3pm_SSE,0.003477340645308705
WindDir9am_W,0.003448585561994137
WindGustDir_SSW,0.003374086512596594
WindDir9am_NNW,0.0033412385522769176
WindGustDir_S,0.003328271092830129
WindDir9am_SW,0.0032778163828099927
WindDir3pm_WSW,0.003241027233733657
WindDir3pm_NNE,0.003138604543287141
WindGustDir_SSE,0.003098455006308587
WindDir3pm_W,0.0030246462411287495
WindDir9am_NNE,0.0029855380206531075
WindDir9am_WNW,0.0026691280846534693
WindDir9am_NE,0.0026427404406974015
WindGustDir_NNE,0.0025254797199756812
WindDir9am_ENE,0.002139458127742785
WindDir3pm_NE,0.001915319587702768
WindGustDir_WNW,0.0018776950812759074
WindGustDir_NW,0.001858562242792331
WindDir9am_SSW,0.0017164122920928988
WindDir9am_NW,0.0017154021044715145
WindDir9am_S,0.0017002464962699991
WindDir9am_SSE,0.0015394612383140707
WindDir3pm_ENE,0.0012105260348988633
WindGustDir_ENE,0.0011713120643978847
WindDir9am_E,0.0011464657639065603
WindDir3pm_SE,0.001106674530334567
WindGustDir_SE,0.0010503474638815754
WindGustDir_NE,0.0009400245618570392
WindGustDir_E,0.0007690168327594638
WindDir9am_SE,0.0007276618657789994
WindDir3pm_E,0.0005690203221455477
WindDir9am_ESE,0.0005517503620697055
WindGustDir_ESE,0.00041171519718731704
WindDir3pm_ESE,0.00035496522190607755
